city_name,year,month,price
Beijing,2015,1,37264
Beijing,2015,2,37735
Beijing,2015,3,37879
Beijing,2015,4,38234
Beijing,2015,5,38719
Beijing,2015,6,38853
Beijing,2015,7,39694
Beijing,2015,8,40172
Beijing,2015,9,40452
Beijing,2015,10,40706
Beijing,2015,11,40855
Beijing,2015,12,39440
Beijing,2016,1,39623
Beijing,2016,2,40046
Beijing,2016,3,42087
Beijing,2016,4,44391
Beijing,2016,5,44756
Beijing,2016,6,44858
Beijing,2016,7,45801
Beijing,2016,8,47139
Beijing,2016,9,50141
Beijing,2016,10,53557
Beijing,2016,11,56064
Beijing,2016,12,57602
Beijing,2017,1,58069
Beijing,2017,2,59536
Beijing,2017,3,61619
Beijing,2017,4,54709
Beijing,2017,5,53054
Beijing,2017,6,51160
Beijing,2017,7,51387
Beijing,2017,8,53926
Beijing,2017,9,58936
Beijing,2017,10,58082
Beijing,2017,11,57667
Beijing,2017,12,57773
Beijing,2018,1,58877
Beijing,2018,2,59349
Beijing,2018,3,60323
Beijing,2018,4,61230
Beijing,2018,5,61676
Beijing,2018,6,62923
Beijing,2018,7,62653
Beijing,2018,8,62394
Beijing,2018,9,61104
Beijing,2018,10,60954
Beijing,2018,11,60913
Beijing,2018,12,62553
Beijing,2019,1,63742
Beijing,2019,2,65173
Beijing,2019,3,64233
Beijing,2019,4,63122
Beijing,2019,5,62840
Beijing,2019,6,62382
Beijing,2019,7,63403
Beijing,2019,8,63913
Beijing,2019,9,64403
Beijing,2019,10,63120
Beijing,2019,11,62435
Beijing,2019,12,62195
Beijing,2020,1,60910
Beijing,2020,2,67724
Beijing,2020,3,66548
Beijing,2020,4,65281
Beijing,2020,5,64182
Beijing,2020,6,61462
Beijing,2020,7,62212
Beijing,2020,8,61244
Beijing,2020,9,62711
Beijing,2020,10,61720
Beijing,2020,11,60143
Beijing,2020,12,64062
Beijing,2021,1,66575
Beijing,2021,2,65741
Beijing,2021,3,63465
Beijing,2021,4,66881
Beijing,2021,5,66541
Beijing,2021,6,64705
Beijing,2021,7,69128
Beijing,2021,8,67630
Beijing,2021,9,67951
Beijing,2021,10,66280
Beijing,2021,11,67289
Beijing,2021,12,63163
Beijing,2022,1,63704
Beijing,2022,2,67273
Beijing,2022,3,66147
Beijing,2022,4,65900
Beijing,2022,5,63091
Beijing,2022,6,65760
Beijing,2022,7,63381
Beijing,2022,8,64628
Beijing,2022,9,63625
Beijing,2022,10,64702
Beijing,2022,11,65901
Beijing,2022,12,68241
Beijing,2023,1,62838
Beijing,2023,2,63503
Beijing,2023,3,68843
Beijing,2023,4,70325
Beijing,2023,5,66177
Beijing,2023,6,66946
Beijing,2023,7,66525
Beijing,2023,8,65384
Beijing,2023,9,65713
Beijing,2023,10,65200
Beijing,2023,11,64197
Beijing,2023,12,63988
Beijing,2024,1,63613
Beijing,2024,2,60345
Beijing,2024,3,60804
Beijing,2024,4,58827
Beijing,2024,5,58419
Beijing,2024,6,57551
Beijing,2024,7,56653
Beijing,2024,8,56379
Beijing,2024,9,55421
Beijing,2024,10,55363
Beijing,2024,11,55546
Beijing,2024,12,54035
Changchun,2015,1,6932
Changchun,2015,2,6998
Changchun,2015,3,6932
Changchun,2015,4,6826
Changchun,2015,5,6848
Changchun,2015,6,6884
Changchun,2015,7,6827
Changchun,2015,8,6849
Changchun,2015,9,6794
Changchun,2015,10,6717
Changchun,2015,11,6792
Changchun,2015,12,6776
Changchun,2016,1,6776
Changchun,2016,2,6746
Changchun,2016,3,6801
Changchun,2016,4,6823
Changchun,2016,5,6844
Changchun,2016,6,6815
Changchun,2016,7,6783
Changchun,2016,8,6770
Changchun,2016,9,6804
Changchun,2016,10,6821
Changchun,2016,11,6804
Changchun,2016,12,6843
Changchun,2017,1,6890
Changchun,2017,2,6912
Changchun,2017,3,6910
Changchun,2017,4,6974
Changchun,2017,5,7032
Changchun,2017,6,7102
Changchun,2017,7,7145
Changchun,2017,8,7160
Changchun,2017,9,7203
Changchun,2017,10,7250
Changchun,2017,11,7400
Changchun,2017,12,7489
Changchun,2018,1,7861
Changchun,2018,2,8021
Changchun,2018,3,8259
Changchun,2018,4,8454
Changchun,2018,5,8558
Changchun,2018,6,8694
Changchun,2018,7,8991
Changchun,2018,8,9201
Changchun,2018,9,9373
Changchun,2018,10,9514
Changchun,2018,11,9560
Changchun,2018,12,9632
Changchun,2019,1,9372
Changchun,2019,2,9563
Changchun,2019,3,9781
Changchun,2019,4,9814
Changchun,2019,5,9862
Changchun,2019,6,10013
Changchun,2019,7,9873
Changchun,2019,8,9821
Changchun,2019,9,10043
Changchun,2019,10,10062
Changchun,2019,11,10012
Changchun,2019,12,9721
Changchun,2020,1,9850
Changchun,2020,2,10059
Changchun,2020,3,9522
Changchun,2020,4,10357
Changchun,2020,5,9602
Changchun,2020,6,10282
Changchun,2020,7,10016
Changchun,2020,8,10261
Changchun,2020,9,9429
Changchun,2020,10,9390
Changchun,2020,11,9596
Changchun,2020,12,9990
Changchun,2021,1,9553
Changchun,2021,2,9816
Changchun,2021,3,9922
Changchun,2021,4,9379
Changchun,2021,5,9668
Changchun,2021,6,9871
Changchun,2021,7,9518
Changchun,2021,8,9555
Changchun,2021,9,9786
Changchun,2021,10,9620
Changchun,2021,11,9673
Changchun,2021,12,9318
Changchun,2022,1,9699
Changchun,2022,2,9712
Changchun,2022,3,9515
Changchun,2022,4,9874
Changchun,2022,5,10197
Changchun,2022,6,9777
Changchun,2022,7,9632
Changchun,2022,8,9683
Changchun,2022,9,9756
Changchun,2022,10,9641
Changchun,2022,11,9585
Changchun,2022,12,9434
Changchun,2023,1,9355
Changchun,2023,2,9312
Changchun,2023,3,9565
Changchun,2023,4,9311
Changchun,2023,5,9306
Changchun,2023,6,9255
Changchun,2023,7,9239
Changchun,2023,8,8927
Changchun,2023,9,8842
Changchun,2023,10,8657
Changchun,2023,11,8553
Changchun,2023,12,8418
