city_name,year,price,change_rate
Shenzheng,2015,41494,43.99
Beijing,2015,39437,5.75
Shanghai,2015,35237,15.45
Xiamen,2015,25970,4.54
Guangzhou,2015,20016,7.82
Nanjing,2015,18697,3.3
Hangzhou,2015,16080,-5.32
Tianjin,2015,15553,3.96
Fuzhou,2015,14577,4.5
Suzhou,2015,12251,11.58
Wuhan,2015,10000,8.24
Jinan,2015,9281,-0.64
Harbin,2015,9131,10.16
Shijiazhuang,2015,8986,2.11
Zhengzhou,2015,8790,3.38
Lanzhou,2015,8465,-8.97
Hefei,2015,8461,8.13
Chengdu,2015,8213,-0.77
Kunming,2015,8213,1.47
Haikou,2015,7201,-2.9
Xi'an,2015,6450,-7.78
Changsha,2015,6448,0.73
Chongqing,2015,6289,-6.39
Lhasa,2015,6164,-8.21
Guiyang,2015,5805,5.62
Urumchi,2015,5745,-24.56
Yinchuan,2015,4630,-18.97
Hohhot,2015,5462,8.42
Changchun,2015,6770,-3.24
Shenyang,2015,7242,-9.37
Nanchang,2015,9212,0.28
Nanning,2015,6748,6.42
Hong Kong,2015,150000,8.7
Macao,2015,87149,-12.99
Taiwan,2015,62000,8.77
Xining,2015,5864,1.86
Taiyuan,2015,8118,-2.95
Shenzheng,2016,43289,4.33
Beijing,2016,57597,46.05
Shanghai,2016,52142,47.98
Xiamen,2016,38883,49.72
Guangzhou,2016,22926,14.54
Nanjing,2016,24867,33.0
Hangzhou,2016,21655,34.67
Tianjin,2016,23220,49.3
Fuzhou,2016,19822,35.98
Suzhou,2016,16181,32.08
Wuhan,2016,13875,38.75
Jinan,2016,11667,25.71
Harbin,2016,7624,-16.5
Shijiazhuang,2016,14878,65.57
Zhengzhou,2016,12091,37.55
Lanzhou,2016,9014,6.49
Hefei,2016,14983,77.08
Chengdu,2016,8591,4.6
Kunming,2016,8485,3.31
Haikou,2016,7447,3.42
Xi'an,2016,6514,0.99
Changsha,2016,7601,17.88
Chongqing,2016,7493,19.14
Lhasa,2016,7609,23.44
Guiyang,2016,6175,6.37
Urumchi,2016,6662,15.96
Yinchuan,2016,5314,14.77
Hohhot,2016,6651,21.77
Changchun,2016,6837,0.99
Shenyang,2016,7293,0.7
Nanchang,2016,9987,8.41
Nanning,2016,7262,7.62
Hong Kong,2016,161000,7.33
Macao,2016,85916,-1.41
Taiwan,2016,59000,-4.84
Xining,2016,6384,8.87
Taiyuan,2016,8308,2.34
Shenzheng,2017,51477,18.91
Beijing,2017,57768,0.3
Shanghai,2017,50017,-4.08
Xiamen,2017,52931,36.13
Guangzhou,2017,28578,24.65
Nanjing,2017,25733,3.48
Hangzhou,2017,28540,31.79
Tianjin,2017,22205,-4.37
Fuzhou,2017,26771,35.06
Suzhou,2017,15320,-5.32
Wuhan,2017,16259,17.18
Jinan,2017,15842,35.78
Harbin,2017,8348,9.5
Shijiazhuang,2017,16979,14.12
Zhengzhou,2017,12859,6.35
Lanzhou,2017,9989,10.82
Hefei,2017,14362,-4.14
Chengdu,2017,12034,40.08
Kunming,2017,9771,15.16
Haikou,2017,11977,60.83
Xi'an,2017,8880,36.32
Changsha,2017,9873,29.89
Chongqing,2017,9925,32.46
Lhasa,2017,9173,20.55
Guiyang,2017,7484,21.2
Urumchi,2017,7250,8.83
Yinchuan,2017,4946,-6.93
Hohhot,2017,7957,19.64
Changchun,2017,7482,9.43
Shenyang,2017,7999,9.68
Nanchang,2017,11396,14.11
Nanning,2017,9515,31.02
Hong Kong,2017,180000,11.8
Macao,2017,100569,17.06
Taiwan,2017,65000,10.17
Xining,2017,6524,2.19
Taiyuan,2017,9695,16.69
Shenzheng,2018,53205,3.36
Beijing,2018,59868,3.64
Shanghai,2018,46371,-7.29
Xiamen,2018,43565,-17.69
Guangzhou,2018,32088,12.28
Nanjing,2018,27568,7.13
Hangzhou,2018,28651,0.39
Tianjin,2018,22188,-0.08
Fuzhou,2018,24698,-7.74
Suzhou,2018,16943,10.59
Wuhan,2018,17586,8.16
Jinan,2018,17674,11.56
Harbin,2018,9622,15.26
Shijiazhuang,2018,15596,-8.15
Zhengzhou,2018,13582,5.62
Lanzhou,2018,11636,16.49
Hefei,2018,14217,-1.01
Chengdu,2018,13173,9.46
Kunming,2018,12298,25.86
Haikou,2018,15024,25.44
Xi'an,2018,12207,37.47
Changsha,2018,10627,7.64
Chongqing,2018,12080,21.71
Lhasa,2018,11141,21.45
Guiyang,2018,9743,30.18
Urumchi,2018,7979,10.06
Yinchuan,2018,5194,5.01
Hohhot,2018,10551,32.6
Changchun,2018,9195,22.89
Shenyang,2018,9005,12.58
Nanchang,2018,12248,7.48
Nanning,2018,10538,10.75
Hong Kong,2018,200000,11.11
Macao,2018,111237,10.61
Taiwan,2018,72000,10.77
Xining,2018,7869,20.62
Taiyuan,2018,11979,23.56
Shenzheng,2019,54790,2.98
Beijing,2019,58568,-2.17
Shanghai,2019,48043,3.61
Xiamen,2019,46003,5.6
Guangzhou,2019,31692,-1.23
Nanjing,2019,28526,3.48
Hangzhou,2019,27002,-5.76
Tianjin,2019,20952,-5.57
Fuzhou,2019,24281,-1.69
Suzhou,2019,19568,15.49
Wuhan,2019,16818,-4.37
Jinan,2019,16048,-9.2
Harbin,2019,9908,2.97
Shijiazhuang,2019,15203,-2.52
Zhengzhou,2019,13266,-2.33
Lanzhou,2019,12432,6.84
Hefei,2019,14226,0.06
Chengdu,2019,12432,-5.63
Kunming,2019,13117,6.66
Haikou,2019,15002,-0.15
Xi'an,2019,12446,1.96
Changsha,2019,10078,-5.17
Chongqing,2019,11187,-7.39
Lhasa,2019,11931,7.09
Guiyang,2019,9172,-5.86
Urumchi,2019,8127,1.85
Yinchuan,2019,6146,18.33
Hohhot,2019,11375,7.81
Changchun,2019,9590,4.3
Shenyang,2019,9817,9.02
Nanchang,2019,12185,-0.51
Nanning,2019,10979,4.18
Hong Kong,2019,189000,-5.5
Macao,2019,107522,-3.34
Taiwan,2019,80000,11.11
Xining,2019,9188,16.76
Taiyuan,2019,11752,-1.89
Shenzheng,2020,56795,3.66
Beijing,2020,57561,-1.72
Shanghai,2020,50947,6.04
Xiamen,2020,49924,8.52
Guangzhou,2020,33364,5.28
Nanjing,2020,28640,0.4
Hangzhou,2020,27851,3.14
Tianjin,2020,19729,-5.84
Fuzhou,2020,23505,-3.2
Suzhou,2020,21687,10.83
Wuhan,2020,16772,-0.27
Jinan,2020,15295,-4.69
Harbin,2020,9999,0.92
Shijiazhuang,2020,14934,-1.77
Zhengzhou,2020,13509,1.83
Lanzhou,2020,12888,3.67
Hefei,2020,14594,2.59
Chengdu,2020,13883,11.67
Kunming,2020,13494,2.87
Haikou,2020,15312,2.07
Xi'an,2020,12748,2.43
Changsha,2020,10151,0.72
Chongqing,2020,11275,0.79
Lhasa,2020,12492,4.7
Guiyang,2020,8774,-4.34
Urumchi,2020,8337,2.58
Yinchuan,2020,6777,10.27
Hohhot,2020,11683,2.71
Changchun,2020,9533,-0.59
Shenyang,2020,10216,4.06
Nanchang,2020,12135,-0.41
Nanning,2020,11049,0.64
Hong Kong,2020,185000,-2.12
Macao,2020,100496,-6.53
Taiwan,2020,85000,6.25
Xining,2020,9437,2.71
Taiyuan,2020,11017,-6.25
Shenzheng,2021,57083,0.51
Beijing,2021,54252,-5.75
Shanghai,2021,45032,-11.61
Xiamen,2021,50845,1.84
Guangzhou,2021,36769,10.21
Nanjing,2021,27912,-2.54
Hangzhou,2021,32834,17.89
Tianjin,2021,17638,-10.6
Fuzhou,2021,24283,3.31
Suzhou,2021,22244,2.57
Wuhan,2021,17007,1.4
Jinan,2021,15325,0.2
Harbin,2021,9796,-2.03
Shijiazhuang,2021,13212,-11.53
Zhengzhou,2021,13381,-0.95
Lanzhou,2021,12621,-2.07
Hefei,2021,16376,12.21
Chengdu,2021,14514,4.55
Kunming,2021,13217,-2.05
Haikou,2021,17999,17.55
Xi'an,2021,14534,14.01
Changsha,2021,10658,4.99
Chongqing,2021,12439,10.32
Lhasa,2021,12802,2.48
Guiyang,2021,8594,-2.05
Urumchi,2021,8316,-0.25
Yinchuan,2021,7897,16.53
Hohhot,2021,10628,-9.03
Changchun,2021,9352,-1.9
Shenyang,2021,10031,-1.81
Nanchang,2021,12172,0.3
Nanning,2021,11025,-0.22
Hong Kong,2021,187000,1.08
Macao,2021,101087,0.59
Taiwan,2021,98000,15.29
Xining,2021,10041,6.4
Taiyuan,2021,10443,-5.21
Shenzheng,2022,57751,1.17
Beijing,2022,57545,6.07
Shanghai,2022,49719,10.41
Xiamen,2022,52212,2.69
Guangzhou,2022,36957,0.51
Nanjing,2022,24845,-10.99
Hangzhou,2022,36800,12.08
Tianjin,2022,16645,-5.63
Fuzhou,2022,22745,-6.33
Suzhou,2022,21089,-5.19
Wuhan,2022,16322,-4.03
Jinan,2022,16061,4.8
Harbin,2022,9123,-6.87
Shijiazhuang,2022,13711,3.78
Zhengzhou,2022,13595,1.6
Lanzhou,2022,11829,-6.28
Hefei,2022,16760,2.34
Chengdu,2022,15985,10.14
Kunming,2022,12238,-7.41
Haikou,2022,17828,-0.95
Xi'an,2022,15568,7.11
Changsha,2022,11010,3.3
Chongqing,2022,11659,-6.27
Lhasa,2022,12231,-4.46
Guiyang,2022,8333,-3.04
Urumchi,2022,8315,-0.01
Yinchuan,2022,7383,-6.51
Hohhot,2022,10446,-1.71
Changchun,2022,8917,-4.65
Shenyang,2022,9421,-6.08
Nanchang,2022,12706,4.39
Nanning,2022,10588,-3.96
Hong Kong,2022,160000,-14.44
Macao,2022,92134,-8.86
Taiwan,2022,110000,12.24
Xining,2022,10122,0.81
Taiyuan,2022,10016,-4.09
Shenzheng,2023,63787,10.45
Beijing,2023,54189,-5.83
Shanghai,2023,54353,9.32
Xiamen,2023,48102,-7.87
Guangzhou,2023,33205,-10.15
Nanjing,2023,25438,2.39
Hangzhou,2023,33796,-8.16
Tianjin,2023,16463,-1.09
Fuzhou,2023,20437,-10.15
Suzhou,2023,20280,-3.84
Wuhan,2023,14663,-10.16
Jinan,2023,15142,-5.72
Harbin,2023,8456,-7.31
Shijiazhuang,2023,12745,-7.05
Zhengzhou,2023,11891,-12.53
Lanzhou,2023,10749,-9.13
Hefei,2023,15262,-8.94
Chengdu,2023,16250,1.66
Kunming,2023,11549,-5.63
Haikou,2023,16020,-10.14
Xi'an,2023,14126,-9.26
Changsha,2023,10416,-5.4
Chongqing,2023,10559,-9.43
Lhasa,2023,12275,0.36
Guiyang,2023,7895,-5.26
Urumchi,2023,8391,0.91
Yinchuan,2023,7257,-1.71
Hohhot,2023,9380,-10.2
Changchun,2023,8161,-8.48
Shenyang,2023,8731,-7.32
Nanchang,2023,11876,-6.53
Nanning,2023,9881,-6.68
Hong Kong,2023,155000,-3.13
Macao,2023,93887,1.9
Taiwan,2023,127500,15.91
Xining,2023,9983,-1.37
Taiyuan,2023,9438,-5.77
Shenzheng,2024,58499,-8.29
Beijing,2024,44512,-17.86
Shanghai,2024,58010,6.73
Xiamen,2024,37344,-22.36
Guangzhou,2024,33341,0.41
Nanjing,2024,21914,-13.85
Hangzhou,2024,31362,-7.2
Tianjin,2024,14913,-9.42
Fuzhou,2024,17129,-16.19
Suzhou,2024,17646,-12.99
Wuhan,2024,12340,-15.84
Jinan,2024,13847,-8.55
Harbin,2024,7966,-5.79
Shijiazhuang,2024,11757,-7.75
Zhengzhou,2024,9521,-19.93
Lanzhou,2024,9650,-10.22
Hefei,2024,13107,-14.12
Chengdu,2024,15555,-4.28
Kunming,2024,10304,-10.78
Haikou,2024,14395,-10.14
Xi'an,2024,12393,-12.27
Changsha,2024,9544,-8.37
Chongqing,2024,9286,-12.06
Lhasa,2024,12693,3.41
Guiyang,2024,7366,-6.7
Urumchi,2024,8357,-0.41
Yinchuan,2024,6757,-6.89
Hohhot,2024,8779,-6.41
Changchun,2024,7586,-7.05
Shenyang,2024,8073,-7.54
Nanchang,2024,10476,-11.79
Nanning,2024,8859,-10.34
Hong Kong,2024,147250,-5.0
Macao,2024,90540,-3.56
Taiwan,2024,127000,-0.39
Xining,2024,8310,-16.76
Taiyuan,2024,8937,-5.31
Shenzheng,2025,54541,-6.77
Beijing,2025,41692,-6.34
Shanghai,2025,58427,0.72
Xiamen,2025,30302,-18.86
Guangzhou,2025,33823,1.45
Nanjing,2025,19583,-10.64
Hangzhou,2025,29806,-4.96
Tianjin,2025,14422,-3.29
Fuzhou,2025,16229,-5.25
Suzhou,2025,15080,-14.54
Wuhan,2025,11011,-10.77
Jinan,2025,13540,-2.22
Harbin,2025,7504,-5.8
Shijiazhuang,2025,11209,-4.66
Zhengzhou,2025,8710,-8.52
Lanzhou,2025,9084,-5.87
Hefei,2025,11548,-11.89
Chengdu,2025,14755,-5.14
Kunming,2025,9707,-5.79
Haikou,2025,13055,-9.31
Xi'an,2025,11648,-6.01
Changsha,2025,8913,-6.61
Chongqing,2025,8665,-6.69
Lhasa,2025,12880,1.47
Guiyang,2025,7140,-3.07
Urumchi,2025,8301,-0.67
Yinchuan,2025,6627,-1.92
Hohhot,2025,8332,-5.09
Changchun,2025,7246,-4.48
Shenyang,2025,7789,-3.52
Nanchang,2025,9200,-12.18
Nanning,2025,8525,-3.77
Hong Kong,2025,144380,-1.95
Macao,2025,87663,-3.18
Taiwan,2025,124500,-1.97
Xining,2025,8188,-1.47
Taiyuan,2025,8639,-3.33
